"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"1",168,145,38,3637,128,33.99,4784,76.02,3,20,291,47,56,0,168,129,4006,3421,75,45.61,5.12,53.4,0,0,0," Mohammad Mahmudullah","Bangladesh","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"2",24,24,1,505,121,21.95,621,81.32,1,1,57,6,13,3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Liton Kumar Das","Bangladesh","Batting style Right-hand bat",NA
"3",3,3,0,20,7,6.66,45,44.44,0,0,0,0,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Najmul Hossain Shanto","Bangladesh","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"4",13,11,2,241,63,26.77,322,74.84,0,2,19,7,5,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Mithun","Bangladesh","Batting style Right-hand bat",NA
"5",198,184,31,5346,144,34.94,6881,77.69,6,32,424,74,164,42,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Mushfiqur Rahim","Bangladesh","Batting style Right-hand bat",NA
"6",195,183,24,5577,134,35.07,6863,81.26,7,40,504,38,45,0,195,192,9899,7333,247,29.68,4.44,40,8,1,0," Shakib Al Hasan","Bangladesh","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"7",78,78,2,2434,144,32.02,3423,71.1,4,16,238,37,21,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Imrul Kayes","Bangladesh","Batting style Left-hand bat",NA
"8",202,148,25,1728,51,14.04,1967,87.84,0,1,148,58,58,0,202,202,10102,8093,258,31.36,4.8,39.1,7,1,0," Mashrafe Bin Mortaza","Bangladesh","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"9",22,13,2,212,51,19.27,324,65.43,0,1,16,2,7,0,22,21,1098,785,24,32.7,4.28,45.7,1,0,0," Mehidy Hasan Miraz","Bangladesh","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"10",40,18,13,52,18,10.4,95,54.73,0,0,5,0,8,0,40,39,1966,1501,73,20.56,4.58,26.9,2,3,0," Mustafizur Rahman","Bangladesh","Batting style Left-hand bat","Bowling style Left-arm fast-medium"
