"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"1",13,6,5,34,19,34,44,77.27,0,0,4,1,4,0,13,13,646,599,26,23.03,5.56,24.8,2,0,0," Lungisani Ngidi","South Africa","Batting style Right-hand bat","Bowling style Right-arm fast"
"2",204,203,4,5604,178,28.16,7618,73.56,5,34,577,86,71,0,204,84,1826,1622,39,41.58,5.32,46.8,0,0,0," Hamilton Masakadza","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm medium"
"3",40,40,0,840,112,21,1015,82.75,1,3,78,23,11,0,40,16,417,433,7,61.85,6.23,59.5,0,0,0," Solomon Farai Mire","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"4",84,81,11,2176,130,31.08,2943,73.93,2,12,186,28,39,0,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Craig Richard Ervine","Zimbabwe","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"5",188,187,15,6156,145,35.79,8085,76.14,10,36,537,96,118,29,188,21,396,406,9,45.11,6.15,44,0,0,0," Brendan Ross Murray Taylor","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"6",122,118,16,3395,129,33.28,4179,81.23,2,29,277,34,43,0,122,98,3672,3008,60,50.13,4.91,61.2,0,0,0," Sean Colin Williams","Zimbabwe","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"7",42,39,3,698,52,19.38,1089,64.09,0,3,40,25,20,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Peter Joseph Moor","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"8",213,198,26,4340,117,25.23,5423,80.02,2,19,343,106,72,0,213,132,4339,4274,101,42.31,5.91,42.9,1,0,0," Elton Chigumbura","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"9",17,10,1,53,15,5.88,125,42.4,0,0,5,0,4,0,17,16,859,734,21,34.95,5.12,40.9,1,0,0," Wellington Pedzisai Masakadza","Zimbabwe","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"10",5,5,1,52,20,13,47,110.63,0,0,5,1,2,0,5,5,234,220,5,44,5.64,46.8,0,0,0," Brandon Anesu Mavuta","Zimbabwe","Batting style Right-hand bat","Bowling style Legbreak"
"11",40,28,7,153,37,7.28,264,57.95,0,0,15,2,8,0,40,40,1936,1812,45,40.26,5.61,43,1,0,0," Kyle Malcolm Jarvis","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"12",62,41,17,159,23,6.62,327,48.62,0,0,13,2,6,0,62,62,3037,2636,85,31.01,5.2,35.7,1,0,0," Tendai Larry Chatara","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"13",57,22,10,198,26,16.5,256,77.34,0,0,16,4,17,0,57,56,2911,2428,93,26.1,5,31.3,6,1,0," Kagiso Rabada","South Africa","Batting style Left-hand bat","Bowling style Right-arm fast"
"14",7,7,3,57,19,14.25,78,73.07,0,0,7,0,3,0,7,7,264,255,7,36.42,5.79,37.7,0,0,0," Pieter Willem Adriaan Mulder","South Africa","Batting style Right-hand bat","Bowling style Right-arm medium"
"15",34,21,10,296,42,26.9,333,88.88,0,0,24,14,7,0,34,34,1384,1325,43,30.81,5.74,32.1,2,0,0," Andile Lucky Phehlukwayo","South Africa","Batting style Left-hand bat","Bowling style Right-arm fast-medium"
